AoA	Cl	Cd	Cm
36.0	1.13	0.783	-0.2593
37.0	1.1325	0.8035	-0.267
38.0	1.135	0.824	-0.2747
39.0	1.1228	0.8445	-0.2823
40.0	1.1105	0.865	-0.29
41.0	1.0982	0.8855	-0.297
42.0	1.086	0.906	-0.304
43.0	1.0738	0.9265	-0.311
44.0	1.0615	0.947	-0.318
45.0	1.0492	0.9675	-0.325
46.0	1.037	0.988	-0.332
47.0	1.0248	1.0085	-0.339
48.0	1.0125	1.029	-0.346
49.0	1.0002	1.0495	-0.353
50.0	0.988	1.07	-0.36
51.0	0.9758	1.0843	-0.367
52.0	0.9635	1.0987	-0.374
53.0	0.9512	1.113	-0.381
54.0	0.939	1.1273	-0.388
55.0	0.9268	1.1417	-0.395
56.0	0.9145	1.156	-0.402
57.0	0.9022	1.1703	-0.409
58.0	0.89	1.1847	-0.416
59.0	0.8623	1.199	-0.423
60.0	0.8345	1.2133	-0.43
61.0	0.8068	1.2277	-0.435
62.0	0.7791	1.242	-0.44
63.0	0.7514	1.2563	-0.445
64.0	0.7236	1.2707	-0.45
65.0	0.6959	1.285	-0.455
66.0	0.6682	1.2993	-0.46
67.0	0.6405	1.3137	-0.465
68.0	0.6127	1.328	-0.47
69.0	0.585	1.3423	-0.475
70.0	0.5573	1.3567	-0.48
71.0	0.5295	1.371	-0.485
72.0	0.5018	1.3853	-0.49
73.0	0.4741	1.3997	-0.495
74.0	0.4464	1.414	-0.5
75.0	0.4186	1.4283	-0.505
76.0	0.3909	1.4427	-0.51
77.0	0.3632	1.457	-0.515
78.0	0.3355	1.4713	-0.52
79.0	0.3077	1.4857	-0.525
80.0	0.28	1.5	-0.53
81.0	0.2523	1.506	-0.535
82.0	0.2245	1.512	-0.54
83.0	0.1968	1.518	-0.545
84.0	0.1691	1.524	-0.55
85.0	0.1414	1.53	-0.555
86.0	0.1136	1.536	-0.56
87.0	0.0859	1.542	-0.565
88.0	0.0582	1.548	-0.57
89.0	0.0305	1.554	-0.575
90.0	0.0027	1.56	-0.58
91.0	-0.025	1.555	-0.582
92.0	-0.0527	1.55	-0.584
93.0	-0.0805	1.545	-0.586
94.0	-0.1082	1.54	-0.588
95.0	-0.1359	1.535	-0.59
96.0	-0.1636	1.53	-0.592
97.0	-0.1914	1.525	-0.594
98.0	-0.2191	1.52	-0.596
99.0	-0.2468	1.515	-0.598
100.0	-0.2745	1.51	-0.6
101.0	-0.3023	1.496	-0.602
102.0	-0.33	1.482	-0.604
103.0	-0.3577	1.468	-0.606
104.0	-0.3855	1.454	-0.608
105.0	-0.4132	1.44	-0.61
106.0	-0.4409	1.426	-0.612
107.0	-0.4686	1.412	-0.614
108.0	-0.4964	1.398	-0.616
109.0	-0.5241	1.384	-0.618
110.0	-0.5518	1.37	-0.62
111.0	-0.5795	1.356	-0.622
112.0	-0.6073	1.342	-0.624
113.0	-0.635	1.328	-0.626
114.0	-0.6465	1.314	-0.628
115.0	-0.658	1.3	-0.63
116.0	-0.6695	1.286	-0.627
117.0	-0.681	1.272	-0.624
118.0	-0.6925	1.258	-0.621
119.0	-0.704	1.244	-0.618
120.0	-0.7155	1.23	-0.615
121.0	-0.727	1.213	-0.612
122.0	-0.7385	1.196	-0.609
123.0	-0.75	1.179	-0.606
124.0	-0.7615	1.162	-0.603
125.0	-0.773	1.145	-0.6
126.0	-0.7845	1.128	-0.597
127.0	-0.796	1.111	-0.594
128.0	-0.8075	1.094	-0.591
129.0	-0.819	1.077	-0.588
