C81 Table

Cl vs alpha & Mach
alpha	M0.1	M0.2	M0.3	M0.4	M0.5	M0.6	M0.7	M0.8
-18.00	 -1.0849	 -1.0849	 -1.0849	 -1.1295	 -1.1272	 -1.0880	 -0.8728	 -0.8378
-17.00	 -1.0891	 -1.0891	 -1.0891	 -1.1330	 -1.0935	 -1.0309	 -0.8752	 -0.8342
-16.00	 -1.0754	 -1.0754	 -1.0754	 -1.1166	 -1.0412	 -0.9599	 -0.8776	 -0.8306
-15.00	 -1.0454	 -1.0454	 -1.0454	 -1.0820	 -0.9758	 -0.8819	 -0.8800	 -0.8270
-14.00	 -1.0089	 -1.0089	 -1.0089	 -1.0348	 -0.9076	 -0.8017	 -0.8800	 -0.8140
-13.00	 -0.9378	 -0.9378	 -0.9378	 -0.9585	 -0.8202	 -0.7311	 -0.8619	 -0.7952
-12.00	 -0.8930	 -0.8930	 -0.8930	 -0.9096	 -0.7615	 -0.6775	 -0.8292	 -0.7637
-11.00	 -0.8701	 -0.8701	 -0.8701	 -0.8840	 -0.7292	 -0.6445	 -0.7815	 -0.7237
-10.00	 -0.8658	 -0.8658	 -0.8658	 -0.8790	 -0.7216	 -0.6338	 -0.7288	 -0.6784
 -9.00	 -0.8430	 -0.8430	 -0.8430	 -0.8925	 -0.7647	 -0.6367	 -0.6598	 -0.6225
 -8.00	 -0.8072	 -0.8072	 -0.8072	 -0.8601	 -0.7941	 -0.6589	 -0.6055	 -0.5758
 -7.00	 -0.7409	 -0.7409	 -0.7409	 -0.7814	 -0.7763	 -0.6800	 -0.5681	 -0.5411
 -6.00	 -0.6385	 -0.6385	 -0.6385	 -0.6715	 -0.6966	 -0.6664	 -0.5470	 -0.5188
 -5.00	 -0.5187	 -0.5187	 -0.5187	 -0.5451	 -0.5780	 -0.5921	 -0.5368	 -0.5064
 -4.00	 -0.3969	 -0.3969	 -0.3969	 -0.4172	 -0.4452	 -0.4751	 -0.5371	 -0.5050
 -3.00	 -0.2763	 -0.2763	 -0.2763	 -0.2910	 -0.3098	 -0.3370	 -0.3820	 -0.4571
 -2.00	 -0.1554	 -0.1554	 -0.1554	 -0.1645	 -0.1740	 -0.1909	 -0.2204	 -0.2805
 -1.00	 -0.0342	 -0.0342	 -0.0342	 -0.0379	 -0.0382	 -0.0424	 -0.0540	 -0.0589
  0.00	  0.0868	  0.0868	  0.0868	  0.0887	  0.0975	  0.1065	  0.1181	  0.1652
  1.00	  0.2077	  0.2077	  0.2077	  0.2154	  0.2332	  0.2556	  0.2928	  0.3940
  2.00	  0.3284	  0.3284	  0.3284	  0.3418	  0.3689	  0.4046	  0.4689	  0.5379
  3.00	  0.4487	  0.4487	  0.4487	  0.4680	  0.5045	  0.5522	  0.6374	  0.5860
  4.00	  0.5686	  0.5686	  0.5686	  0.5937	  0.6400	  0.6901	  0.7606	  0.6077
  5.00	  0.6878	  0.6878	  0.6878	  0.7188	  0.7764	  0.8030	  0.7922	  0.6318
  6.00	  0.8060	  0.8060	  0.8060	  0.8430	  0.9123	  0.8804	  0.7544	  0.6620
  7.00	  0.9231	  0.9231	  0.9231	  0.9663	  1.0355	  0.8941	  0.7179	  0.6965
  8.00	  1.0387	  1.0387	  1.0387	  1.0880	  1.1212	  0.8521	  0.7066	  0.7323
  9.00	  1.1524	  1.1524	  1.1524	  1.2017	  1.1454	  0.8187	  0.7172	  0.7693
 10.00	  1.2682	  1.2682	  1.2682	  1.2911	  1.1097	  0.8173	  0.7384	  0.8097
 11.00	  1.3820	  1.3820	  1.3820	  1.3337	  1.0498	  0.8291	  0.7646	  0.8528
 12.00	  1.4929	  1.4929	  1.4929	  1.3199	  0.9958	  0.8409	  0.7923	  0.8966
 13.00	  1.5570	  1.5570	  1.5570	  1.2567	  0.9557	  0.8509	  0.8200	  0.9397
 14.00	  1.5566	  1.5566	  1.5566	  1.1743	  0.9307	  0.8602	  0.8467	  0.9802
 15.00	  1.4510	  1.4510	  1.4510	  1.0966	  0.9166	  0.8699	  0.8723	  1.0175
 16.00	  1.2823	  1.2823	  1.2823	  1.0259	  0.9087	  0.8824	  0.8968	  1.0492
 17.00	  1.1503	  1.1503	  1.1503	  0.9692	  0.9056	  0.8912	  0.9200	  1.0762
 18.00	  1.0580	  1.0580	  1.0580	  0.9503	  0.9067	  0.9045	  0.9397	  1.0975
 19.00	  1.0068	  1.0068	  1.0068	  0.9437	  0.9100	  0.9295	  0.9447	  1.1113
 20.00	  0.9780	  0.9780	  0.9780	  0.9382	  0.9152	  0.9673	  0.9755	  1.1180
 21.00	  0.9799	  0.9799	  0.9799	  0.9419	  0.9221	  0.9743	  0.9847	  1.1098
 22.00	  0.9858	  0.9858	  0.9858	  0.9531	  0.9417	  0.9939	  1.0104	  1.0878
 23.00	  0.9958	  0.9958	  0.9958	  0.9710	  0.9716	  1.0233	  1.0482	  1.0571
 24.00	  1.0094	  1.0094	  1.0094	  0.9941	  1.0086	  1.0588	  1.0929	  1.0231
 25.00	  1.0258	  1.0258	  1.0258	  1.0203	  1.0486	  1.0963	  1.1390	  0.9911
 26.00	  1.0437	  1.0437	  1.0437	  1.0474	  1.0874	  1.1316	  1.1811	  0.9655
 27.00	  1.0614	  1.0614	  1.0614	  1.0726	  1.1212	  1.1611	  1.2147	  0.9496
 28.00	  1.0773	  1.0773	  1.0773	  1.0936	  1.1467	  1.1818	  1.2363	  0.9449
 29.00	  1.0897	  1.0897	  1.0897	  1.1082	  1.1613	  1.1919	  1.2443	  0.9517
 30.00	  1.0972	  1.0972	  1.0972	  1.1150	  1.1639	  1.1906	  1.2381	  0.9683
 31.00	  1.1019	  1.1019	  1.1019	  1.1175	  1.1603	  1.1836	  1.2252	  0.9892
 32.00	  1.1067	  1.1067	  1.1067	  1.1200	  1.1567	  1.1767	  1.2123	  1.0100
 33.00	  1.1114	  1.1114	  1.1114	  1.1225	  1.1531	  1.1697	  1.1994	  1.0308
 34.00	  1.1161	  1.1161	  1.1161	  1.1250	  1.1494	  1.1628	  1.1866	  1.0517
 35.00	  1.1208	  1.1208	  1.1208	  1.1275	  1.1458	  1.1558	  1.1737	  1.0725
 36.00	  1.1256	  1.1256	  1.1256	  1.1300	  1.1422	  1.1489	  1.1608	  1.0933
 37.00	  1.1303	  1.1303	  1.1303	  1.1325	  1.1386	  1.1419	  1.1479	  1.1142
 38.00	  1.1350	  1.1350	  1.1350	  1.1350	  1.1350	  1.1350	  1.1350	  1.1350
 39.00	  1.1228	  1.1228	  1.1228	  1.1228	  1.1228	  1.1228	  1.1228	  1.1228
 40.00	  1.1105	  1.1105	  1.1105	  1.1105	  1.1105	  1.1105	  1.1105	  1.1105
 41.00	  1.0982	  1.0982	  1.0982	  1.0982	  1.0982	  1.0982	  1.0982	  1.0982
 42.00	  1.0860	  1.0860	  1.0860	  1.0860	  1.0860	  1.0860	  1.0860	  1.0860
 43.00	  1.0738	  1.0738	  1.0738	  1.0738	  1.0738	  1.0738	  1.0738	  1.0738
 44.00	  1.0615	  1.0615	  1.0615	  1.0615	  1.0615	  1.0615	  1.0615	  1.0615
 45.00	  1.0492	  1.0492	  1.0492	  1.0492	  1.0492	  1.0492	  1.0492	  1.0492
 46.00	  1.0370	  1.0370	  1.0370	  1.0370	  1.0370	  1.0370	  1.0370	  1.0370
 47.00	  1.0248	  1.0248	  1.0248	  1.0248	  1.0248	  1.0248	  1.0248	  1.0248
 48.00	  1.0125	  1.0125	  1.0125	  1.0125	  1.0125	  1.0125	  1.0125	  1.0125
 49.00	  1.0002	  1.0002	  1.0002	  1.0002	  1.0002	  1.0002	  1.0002	  1.0002
 50.00	  0.9880	  0.9880	  0.9880	  0.9880	  0.9880	  0.9880	  0.9880	  0.9880
 51.00	  0.9758	  0.9758	  0.9758	  0.9758	  0.9758	  0.9758	  0.9758	  0.9758
 52.00	  0.9635	  0.9635	  0.9635	  0.9635	  0.9635	  0.9635	  0.9635	  0.9635
 53.00	  0.9512	  0.9512	  0.9512	  0.9512	  0.9512	  0.9512	  0.9512	  0.9512
 54.00	  0.9390	  0.9390	  0.9390	  0.9390	  0.9390	  0.9390	  0.9390	  0.9390
 55.00	  0.9268	  0.9268	  0.9268	  0.9268	  0.9268	  0.9268	  0.9268	  0.9268
 56.00	  0.9145	  0.9145	  0.9145	  0.9145	  0.9145	  0.9145	  0.9145	  0.9145
 57.00	  0.9022	  0.9022	  0.9022	  0.9022	  0.9022	  0.9022	  0.9022	  0.9022
 58.00	  0.8900	  0.8900	  0.8900	  0.8900	  0.8900	  0.8900	  0.8900	  0.8900
 59.00	  0.8623	  0.8623	  0.8623	  0.8623	  0.8623	  0.8623	  0.8623	  0.8623
